Epoch,Step,Loss,Learning Rate
0,100,10.334207534790039,2.0549873413169664e-06
0,200,10.08598518371582,4.109974682633933e-06
0,300,9.871628761291504,6.164962023950899e-06
0,400,9.6836519241333,8.219949365267866e-06
0,500,9.19558334350586,1.0274936706584833e-05
0,600,8.928537368774414,1.2329924047901798e-05
0,700,8.487093925476074,1.4384911389218763e-05
0,800,8.159703254699707,1.643989873053573e-05
0,900,7.8613362312316895,1.8494886071852697e-05
0,1000,7.837141513824463,2.0549873413169665e-05
0,1100,7.907429218292236,2.260486075448663e-05
0,1200,7.66584587097168,2.4659848095803596e-05
0,1300,7.649540424346924,2.6714835437120564e-05
0,1400,7.298104286193848,2.8769822778437526e-05
0,1500,7.672219276428223,3.08248101197545e-05
0,1600,7.7807722091674805,3.287979746107146e-05
0,1700,7.904306888580322,3.493478480238843e-05
0,1800,7.424539089202881,3.6989772143705394e-05
0,1900,7.197663307189941,3.9044759485022365e-05
0,2000,7.501791477203369,4.109974682633933e-05
0,2100,7.280813217163086,4.315473416765629e-05
0,2200,6.930078983306885,4.520972150897326e-05
0,2300,7.555759906768799,4.7264708850290226e-05
0,2400,7.104852199554443,4.931969619160719e-05
0,2500,6.89851188659668,5.1374683532924157e-05
0,2600,7.107967376708984,5.342967087424113e-05
0,2700,7.051368713378906,5.5484658215558094e-05
0,2800,7.106308937072754,5.753964555687505e-05
0,2900,7.209146976470947,5.9594632898192024e-05
0,3000,6.8842973709106445,6.1649620239509e-05
0,3100,7.331442832946777,6.370460758082595e-05
0,3200,6.814703464508057,6.575959492214293e-05
0,3300,6.317128658294678,6.781458226345988e-05
0,3400,6.733814716339111,6.986956960477686e-05
0,3500,6.737215518951416,7.192455694609382e-05
0,3600,7.034722805023193,7.397954428741079e-05
0,3700,6.595501899719238,7.603453162872776e-05
0,3800,6.853249549865723,7.808951897004473e-05
0,3900,7.002630233764648,8.014450631136169e-05
0,4000,7.051443099975586,8.219949365267865e-05
0,4100,6.479162216186523,8.119087271036078e-05
0,4200,6.609160423278809,8.021849185198158e-05
0,4300,6.936690807342529,7.928023160009326e-05
0,4400,6.385424613952637,7.837414205275962e-05
0,4500,6.895458698272705,7.749842582921286e-05
0,4600,6.928642749786377,7.665142306604199e-05
0,4700,6.285118103027344,7.58315981787683e-05
0,4800,6.5591325759887695,7.503752814845803e-05
0,4900,6.535494804382324,7.426789213000519e-05
0,5000,7.04017972946167,7.352146220938078e-05
0,5100,7.002756118774414,7.27970951626708e-05
0,5200,5.919798851013184,7.209372509105906e-05
0,5300,6.458700180053711,7.141035682380543e-05
0,5400,6.295059680938721,7.074605999633482e-05
0,5500,6.0522871017456055,7.009996372327816e-05
0,5600,6.53336763381958,6.947125179709106e-05
0,5700,6.416427135467529,6.885915835204574e-05
0,5800,6.56572961807251,6.826296394121151e-05
0,5900,6.560196876525879,6.768199198072673e-05
0,6000,6.758119106292725,6.711560552140244e-05
0,6100,6.388408184051514,6.656320431263122e-05
0,6200,6.430447578430176,6.602422212782976e-05
0,6300,6.392810821533203,6.54981243243216e-05
0,6400,6.150708198547363,6.498440561375455e-05
0,6500,6.669342041015625,6.448258802191611e-05
0,6600,6.585948944091797,6.399221901922213e-05
0,6700,5.838644981384277,6.351286980525724e-05
0,6800,6.3311967849731445,6.304413373258618e-05
0,6900,6.117222785949707,6.258562485666792e-05
0,7000,6.503433704376221,6.213697660012e-05
0,7100,5.917409896850586,6.169784052082686e-05
0,7200,6.093811511993408,6.126788517448399e-05
0,7300,6.385603904724121,6.084679506313999e-05
0,7400,6.138193130493164,6.043426966215648e-05
0,7500,6.334845066070557,6.0030022518766426e-05
0,7600,6.557910919189453,5.963378041608701e-05
0,7700,6.6548590660095215,5.924528259704321e-05
0,7800,6.286868572235107,5.8864280043193134e-05
0,7900,6.190359592437744,5.8490534803923536e-05
0,8000,6.573729991912842,5.812381937190964e-05
0,8100,6.379580497741699,5.7763916101115156e-05
0,8200,5.85221529006958,5.741061666394992e-05
0,8300,6.670370101928711,5.706372154450917e-05
0,8400,6.691120624542236,5.6723039565093984e-05
0,8500,6.469920635223389,5.6388387443460096e-05
